BMID000000140584,'Clostridium'
BMID000000141846,'Coccidioides'
BMID000000142025,'Collimonas'
BMID000000141798,'Colwellia'
BMID000000141217,'Comamonas'
BMID000000141596,'Conexibacter'
BMID000000141739,'Coprinopsis'
BMID000000142522,'Coprococcus'
BMID000000140838,'Coprothermobacter'
BMID000000141557,'Coraliomargarita'
BMID000000141142,'Corallococcus'
BMID000000140448,'Coriobacterium'
BMID000000142521,'Corynebacterium'
BMID000000141532,'Coxiella'
BMID000000142167,'Crinalium'
BMID000000141338,'Croceibacter'
BMID000000141663,'Cronobacter'
BMID000000140575,'Cryptobacterium'
BMID000000141997,'Cryptococcus'
BMID000000141970,'Cryptosporidium'
BMID000000142512,'Cucumis'
BMID000000141277,'Culex'
BMID000000140972,'Cupriavidus'
BMID000000141432,'Cyanidioschyzon'
BMID000000141476,'Cyanobacterium'
BMID000000142603,'Cyanobium'
BMID000000140888,'Cyanothece'
BMID000000140489,'Cyclobacterium'
BMID000000142644,'Cycloclasticus'
BMID000000142718,'Cylindrospermum'
BMID000000140206,'Cytophaga'
BMID000000142140,'Dactylococcopsis'
BMID000000142036,'Danio'
BMID000000141525,'Daphnia'
BMID000000141580,'Debaryomyces'
BMID000000141399,'Dechloromonas'
BMID000000140236,'Dechlorosoma'
BMID000000142019,'Deferribacter'
BMID000000142800,'Dehalobacter'
BMID000000140741,'Dehalococcoides'
BMID000000140572,'Dehalogenimonas'
BMID000000140386,'Deinococcus'
BMID000000141343,'Delftia'
BMID000000141457,'Denitrovibrio'
BMID000000141744,'Desulfarculus'
BMID000000140925,'Desulfatibacillum'
BMID000000141034,'Desulfitobacterium'
BMID000000140546,'Desulfobacca'
BMID000000140781,'Desulfobacterium'
BMID000000142532,'Desulfobacula'
BMID000000141534,'Desulfobulbus'
BMID000000142358,'Desulfocapsa'
BMID000000141796,'Desulfococcus'
BMID000000140649,'Desulfohalobium'
BMID000000140392,'Desulfomicrobium'
BMID000000142679,'Desulfomonile'
BMID000000141655,'Desulforudis'
BMID000000142046,'Desulfosporosinus'
BMID000000140717,'Desulfotalea'
BMID000000140952,'Desulfotomaculum'
BMID000000140766,'Desulfovibrio'
BMID000000141389,'Desulfurispirillum'
BMID000000141199,'Desulfurivibrio'
BMID000000141778,'Desulfurobacterium'
BMID000000141539,'Desulfurococcus'
BMID000000140863,'Dichelobacter'
BMID000000141908,'Dickeya'
BMID000000140912,'Dictyoglomus'
BMID000000142276,'Dictyostelium'
BMID000000140832,'Dinoroseobacter'
BMID000000141998,'Drosophila'
BMID000000140787,'Dyadobacter'
