BIOMD0000000434 :  9
BIOMD0000000526 :  9
BIOMD0000000613 :  9
BIOMD0000000502 :  9
BIOMD0000000335 :  9
BIOMD0000000525 :  9
BIOMD0000000523 :  9
BIOMD0000000545 :  9
BIOMD0000000582 :  9
BIOMD0000000314 :  9
BIOMD0000000498 :  9
BIOMD0000000228 :  9
BIOMD0000000416 :  9
BIOMD0000000463 :  9
BIOMD0000000522 :  9
BIOMD0000000704 :  9
MODEL1805160001 :  9
MODEL1806040001 :  9
MODEL1806250002 :  9
MODEL1806260001 :  9
BIOMD0000000951 :  9
MODEL1806280001 :  9
BIOMD0000000700 :  9
MODEL1807240001 :  9
MODEL1808150002 :  9
BIOMD0000000941 :  9
BIOMD0000000873 :  9
BIOMD0000000959 :  9
BIOMD0000000109 :  8
BIOMD0000000568 :  8
BIOMD0000000287 :  8
BIOMD0000000494 :  8
BIOMD0000000628 :  8
BIOMD0000000303 :  8
BIOMD0000000237 :  8
BIOMD0000000227 :  8
BIOMD0000000265 :  8
BIOMD0000000246 :  8
BIOMD0000000660 :  8
BIOMD0000000954 :  8
BIOMD0000000007 :  7
BIOMD0000000347 :  7
BIOMD0000000300 :  7
BIOMD0000000147 :  7
BIOMD0000000634 :  7
BIOMD0000000356 :  7
BIOMD0000000140 :  7
BIOMD0000000074 :  7
BIOMD0000000571 :  7
BIOMD0000000230 :  7
BIOMD0000000488 :  7
BIOMD0000000137 :  7
BIOMD0000000404 :  7
BIOMD0000000286 :  7
BIOMD0000000475 :  7
BIOMD0000000083 :  7
BIOMD0000000210 :  7
BIOMD0000000139 :  7
BIOMD0000000201 :  7
BIOMD0000000048 :  7
BIOMD0000000181 :  7
BIOMD0000000541 :  7
BIOMD0000000209 :  7
BIOMD0000000273 :  7
BIOMD0000000564 :  7
BIOMD0000000413 :  7
BIOMD0000000718 :  7
BIOMD0000000829 :  7
BIOMD0000000968 :  7
BIOMD0000000089 :  6
BIOMD0000000200 :  6
BIOMD0000000226 :  6
BIOMD0000000576 :  6
BIOMD0000000073 :  6
BIOMD0000000395 :  6
BIOMD0000000242 :  6
BIOMD0000000235 :  6
BIOMD0000000144 :  6
BIOMD0000000344 :  6
BIOMD0000000336 :  6
BIOMD0000000093 :  6
BIOMD0000000447 :  6
BIOMD0000000094 :  6
BIOMD0000000482 :  6
BIOMD0000000169 :  6
BIOMD0000000161 :  6
BIOMD0000000542 :  6
BIOMD0000000160 :  6
BIOMD0000000509 :  6
BIOMD0000000596 :  6
BIOMD0000000256 :  6
BIOMD0000000508 :  6
BIOMD0000000078 :  6
BIOMD0000000689 :  6
BIOMD0000000690 :  6
MODEL1504240000 :  6
BIOMD0000000989 :  6
BIOMD0000000990 :  6
BIOMD0000000994 :  6
BIOMD0000000995 :  6
BIOMD0000000996 :  6
BIOMD0000000997 :  6
BIOMD0000000998 :  6
BIOMD0000000999 :  6
BIOMD0000001000 :  6
BIOMD0000001001 :  6
BIOMD0000001002 :  6
BIOMD0000001003 :  6
BIOMD0000000794 :  6
BIOMD0000000358 :  5
BIOMD0000000293 :  5
BIOMD0000000193 :  5
BIOMD0000000342 :  5
BIOMD0000000163 :  5
BIOMD0000000432 :  5
BIOMD0000000022 :  5
BIOMD0000000429 :  5
BIOMD0000000366 :  5
BIOMD0000000318 :  5
BIOMD0000000183 :  5
BIOMD0000000599 :  5
BIOMD0000000116 :  5
BIOMD0000000476 :  5
BIOMD0000000431 :  5
BIOMD0000000207 :  5
BIOMD0000000626 :  5
BIOMD0000000433 :  5
BIOMD0000000208 :  5
BIOMD0000000165 :  5
BIOMD0000000196 :  5
BIOMD0000000111 :  5
BIOMD0000000430 :  5
MODEL1303260009 :  5
MODEL1303260016 :  5
MODEL1303260014 :  5
MODEL1303260010 :  5
BIOMD0000000842 :  5
MODEL1303260011 :  5
MODEL1303260015 :  5
MODEL1303260007 :  5
MODEL1303260008 :  5
MODEL1303260013 :  5
BIOMD0000000664 :  5
MODEL1303260012 :  5
MODEL1303260017 :  5
MODEL1303260018 :  5
MODEL1303260006 :  5
BIOMD0000000658 :  5
BIOMD0000000934 :  5
BIOMD0000000942 :  5
BIOMD0000000786 :  5
BIOMD0000000818 :  5
BIOMD0000000952 :  5
BIOMD0000001004 :  5
BIOMD0000000441 :  4
BIOMD0000000038 :  4
BIOMD0000000638 :  4
BIOMD0000000547 :  4
BIOMD0000000102 :  4
BIOMD0000000605 :  4
BIOMD0000000442 :  4
BIOMD0000000264 :  4
BIOMD0000000269 :  4
BIOMD0000000595 :  4
BIOMD0000000096 :  4
BIOMD0000000610 :  4
BIOMD0000000192 :  4
BIOMD0000000606 :  4
BIOMD0000000443 :  4
BIOMD0000000361 :  4
BIOMD0000000069 :  4
BIOMD0000000262 :  4
BIOMD0000000360 :  4
BIOMD0000000400 :  4
BIOMD0000000622 :  4
BIOMD0000000014 :  4
BIOMD0000000009 :  4
BIOMD0000000359 :  4
BIOMD0000000275 :  4
BIOMD0000000084 :  4
BIOMD0000000112 :  4
BIOMD0000000604 :  4
BIOMD0000000603 :  4
BIOMD0000000632 :  4
BIOMD0000000095 :  4
BIOMD0000000203 :  4
BIOMD0000000034 :  4
BIOMD0000000263 :  4
BIOMD0000000557 :  4
BIOMD0000000097 :  4
BIOMD0000000168 :  4
BIOMD0000000011 :  4
BIOMD0000000607 :  4
BIOMD0000000440 :  4
BIOMD0000000229 :  4
BIOMD0000000481 :  4
BIOMD0000000637 :  4
BIOMD0000000465 :  4
BIOMD0000000103 :  4
BIOMD0000000444 :  4
BIOMD0000000499 :  4
BIOMD0000000204 :  4
BIOMD0000000467 :  4
BIOMD0000000665 :  4
BIOMD0000000659 :  4
MODEL1806010001 :  4
BIOMD0000000719 :  4
BIOMD0000000755 :  4
BIOMD0000000153 :  3
BIOMD0000000189 :  3
BIOMD0000000223 :  3
BIOMD0000000621 :  3
BIOMD0000000540 :  3
BIOMD0000000170 :  3
BIOMD0000000534 :  3
BIOMD0000000027 :  3
BIOMD0000000099 :  3
BIOMD0000000026 :  3
BIOMD0000000107 :  3
BIOMD0000000077 :  3
BIOMD0000000072 :  3
BIOMD0000000028 :  3
BIOMD0000000641 :  3
BIOMD0000000080 :  3
BIOMD0000000537 :  3
BIOMD0000000082 :  3
BIOMD0000000458 :  3
BIOMD0000000352 :  3
BIOMD0000000640 :  3
BIOMD0000000101 :  3
BIOMD0000000216 :  3
BIOMD0000000188 :  3
BIOMD0000000351 :  3
BIOMD0000000437 :  3
BIOMD0000000146 :  3
BIOMD0000000081 :  3
BIOMD0000000301 :  3
BIOMD0000000003 :  3
BIOMD0000000423 :  3
BIOMD0000000029 :  3
BIOMD0000000031 :  3
BIOMD0000000594 :  3
BIOMD0000000217 :  3
BIOMD0000000030 :  3
BIOMD0000000535 :  3
BIOMD0000000194 :  3
BIOMD0000000439 :  3
BIOMD0000000010 :  3
BIOMD0000000536 :  3
BIOMD0000000528 :  3
BIOMD0000000355 :  3
BIOMD0000000283 :  3
BIOMD0000000343 :  3
BIOMD0000000620 :  3
BIOMD0000000215 :  3
BIOMD0000000152 :  3
BIOMD0000000012 :  3
BIOMD0000000697 :  3
BIOMD0000000975 :  3
BIOMD0000000831 :  3
BIOMD0000000657 :  3
BIOMD0000000647 :  3
MODEL1805150001 :  3
BIOMD0000000937 :  3
BIOMD0000000731 :  3
BIOMD0000000871 :  3
BIOMD0000000746 :  3
BIOMD0000000761 :  3
BIOMD0000000792 :  3
MODEL1909160002 :  3
BIOMD0000000828 :  3
BIOMD0000000839 :  3
MODEL2007090001 :  3
BIOMD0000000157 :  2
BIOMD0000000025 :  2
BIOMD0000000252 :  2
BIOMD0000000559 :  2
BIOMD0000000145 :  2
BIOMD0000000154 :  2
BIOMD0000000411 :  2
BIOMD0000000198 :  2
BIOMD0000000414 :  2
BIOMD0000000214 :  2
BIOMD0000000329 :  2
BIOMD0000000529 :  2
BIOMD0000000156 :  2
BIOMD0000000158 :  2
BIOMD0000000435 :  2
BIOMD0000000364 :  2
BIOMD0000000350 :  2
BIOMD0000000067 :  2
BIOMD0000000055 :  2
BIOMD0000000110 :  2
BIOMD0000000120 :  2
BIOMD0000000602 :  2
BIOMD0000000159 :  2
BIOMD0000000123 :  2
BIOMD0000000617 :  2
BIOMD0000000298 :  2
BIOMD0000000422 :  2
BIOMD0000000345 :  2
BIOMD0000000438 :  2
BIOMD0000000171 :  2
BIOMD0000000240 :  2
BIOMD0000000004 :  2
BIOMD0000000365 :  2
BIOMD0000000507 :  2
BIOMD0000000155 :  2
BIOMD0000000068 :  2
BIOMD0000000331 :  2
BIOMD0000000325 :  2
BIOMD0000000282 :  2
BIOMD0000000065 :  2
BIOMD0000000202 :  2
BIOMD0000000591 :  2
BIOMD0000000330 :  2
BIOMD0000000271 :  2
BIOMD0000000185 :  2
BIOMD0000000425 :  2
BIOMD0000000174 :  2
BIOMD0000000231 :  2
BIOMD0000000122 :  2
BIOMD0000000008 :  2
BIOMD0000000272 :  2
BIOMD0000000021 :  2
BIOMD0000000281 :  2
BIOMD0000000569 :  2
BIOMD0000000630 :  2
BIOMD0000000164 :  2
BIOMD0000000162 :  2
BIOMD0000000661 :  2
BIOMD0000000736 :  2
BIOMD0000000644 :  2
BIOMD0000000735 :  2
BIOMD0000000701 :  2
BIOMD0000000737 :  2
BIOMD0000000645 :  2
BIOMD0000000738 :  2
BIOMD0000000699 :  2
BIOMD0000000834 :  2
BIOMD0000000702 :  2
MODEL1409240003 :  2
BIOMD0000000643 :  2
BIOMD0000000710 :  2
BIOMD0000000935 :  2
BIOMD0000000938 :  2
BIOMD0000000734 :  2
BIOMD0000000866 :  2
BIOMD0000000868 :  2
BIOMD0000000869 :  2
BIOMD0000000870 :  2
BIOMD0000000741 :  2
BIOMD0000000756 :  2
BIOMD0000000757 :  2
BIOMD0000000819 :  2
BIOMD0000000832 :  2
MODEL2006210001 :  2
BIOMD0000001006 :  2
BIOMD0000001007 :  2
BIOMD0000001009 :  2
BIOMD0000001010 :  2
BIOMD0000000500 :  1
BIOMD0000000629 :  1
BIOMD0000000514 :  1
BIOMD0000000150 :  1
BIOMD0000000291 :  1
BIOMD0000000299 :  1
BIOMD0000000341 :  1
BIOMD0000000548 :  1
BIOMD0000000558 :  1
BIOMD0000000515 :  1
BIOMD0000000379 :  1
BIOMD0000000062 :  1
BIOMD0000000510 :  1
BIOMD0000000274 :  1
BIOMD0000000552 :  1
BIOMD0000000501 :  1
BIOMD0000000167 :  1
BIOMD0000000551 :  1
BIOMD0000000566 :  1
BIOMD0000000276 :  1
BIOMD0000000516 :  1
BIOMD0000000533 :  1
BIOMD0000000556 :  1
BIOMD0000000616 :  1
BIOMD0000000060 :  1
